,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
56812,Saint-Laurent,Saint-Laurent,6,0,2770,,0,2892,FALSE,1609159,,Montréal,Montréal,45.51592108,-73.7236969,Toupin,-1,0.053034962,boulevard
56815,Saint-Laurent,Saint-Laurent,0,2801,0,,2809,0,FALSE,1609163,,Montréal,Montréal,45.51231809,-73.72554721,Nigen,0,0.057121921,place
56817,Saint-Laurent,Saint-Laurent,0,2701,0,,2709,0,FALSE,1609165,,Montréal,Montréal,45.51235301,-73.72447,Bergevin,0,0.054979631,place
56818,Saint-Laurent,Saint-Laurent,7,0,0,,0,0,FALSE,1609166,,Montréal,Montréal,45.51209406,-73.72334875,Henri-Bourassa,1,0.0520093,boulevard
56819,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609167,,Montréal,Montréal,45.51226699,-73.72336681,Vermandère,0,0.052491467,place
56820,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609170,,Montréal,Montréal,45.51453841,-73.7228613,Saint-Charles,0,0.050989854,rue
56821,Saint-Laurent,Saint-Laurent,6,2705,0,,2757,0,FALSE,1609172,,Montréal,Montréal,45.51472986,-73.72155177,Toupin,1,0.047264225,boulevard
56839,Saint-Laurent,Saint-Laurent,0,2725,2720,,2855,2830,FALSE,1609188,,Montréal,Montréal,45.51637642,-73.71942713,Duchesne,0,0.052234588,rue
56840,Saint-Laurent,Saint-Laurent,0,2625,2660,,2695,2680,FALSE,1609189,,Montréal,Montréal,45.51577103,-73.71838162,Duchesne,0,0.049524102,rue
56841,Saint-Laurent,Saint-Laurent,0,0,2560,,0,2570,FALSE,1609190,,Montréal,Montréal,45.51583513,-73.720145,Saint-Charles,0,0.051488167,rue
56844,Saint-Laurent,Saint-Laurent,0,2665,2670,,2691,2694,FALSE,1609194,,Montréal,Montréal,45.51523979,-73.72089463,Lafrance,0,0.049223786,rue
56849,Saint-Laurent,Saint-Laurent,5,0,2650,,0,2692,FALSE,1609200,,Montréal,Montréal,45.51865366,-73.72644174,Keller,-1,0.063736782,boulevard
56850,Saint-Laurent,Saint-Laurent,5,2651,0,,2691,0,FALSE,1609201,,Montréal,Montréal,45.519293,-73.72552513,Keller,1,0.066684102,boulevard
56853,Saint-Laurent,Saint-Laurent,5,0,0,,0,0,FALSE,1609202,,Montréal,Montréal,45.51961735,-73.7246233,Keller,1,0.068776813,boulevard
56872,Saint-Laurent,Saint-Laurent,0,0,3400,,0,3460,FALSE,1609208,,Montréal,Montréal,45.52004598,-73.72863301,Limoges,0,0.069075246,rue
56876,Saint-Laurent,Saint-Laurent,0,0,3400,,0,3460,FALSE,1609208,,Montréal,Montréal,45.52068055,-73.72914002,Limoges,0,0.071265385,rue
56877,Saint-Laurent,Saint-Laurent,0,3185,0,,3185,0,FALSE,1609209,,Montréal,Montréal,45.51978241,-73.72629896,Beauséjour,0,0.068573473,rue
56878,Saint-Laurent,Saint-Laurent,0,3285,3280,,3287,3290,FALSE,1609210,,Montréal,Montréal,45.52019793,-73.72549179,Achim,0,0.07117566,rue
56879,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609211,,Montréal,Montréal,45.52068063,-73.7248385,Savard,0,0.073025475,rue
