,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,DIST_TO_FS,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TYP_VOIE
527,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5077,5110,Ouest,1.067346542,5095,5148,FALSE,1010237,,Montréal,Montréal,45.53585357,-73.71449954,Gouin,0,boulevard
532,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5101,0,Ouest,1.115696757,5101,0,FALSE,1010238,,Montréal,Montréal,45.53555026,-73.71492537,Gouin,1,boulevard
533,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5315,0,Ouest,1.20885661,5361,0,FALSE,1010239,,Montréal,Montréal,45.53479696,-73.71544604,Gouin,1,boulevard
542,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5315,0,Ouest,1.280590798,5361,0,FALSE,1010239,,Montréal,Montréal,45.53430023,-73.71602421,Gouin,1,boulevard
543,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5391,0,Ouest,1.31299598,5459,0,FALSE,1010241,,Montréal,Montréal,45.53411667,-73.71634694,Gouin,1,boulevard
548,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5501,0,Ouest,1.447441904,5595,0,FALSE,1010243,,Montréal,Montréal,45.53334538,-73.7176734,Gouin,1,boulevard
549,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,0,0,Ouest,1.491184561,0,0,FALSE,1010244,,Montréal,Montréal,45.53306413,-73.71806494,Gouin,0,boulevard
551,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,0,0,Ouest,1.532269183,0,0,FALSE,1010244,,Montréal,Montréal,45.53283116,-73.71847404,Gouin,0,boulevard
560,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5701,5700,Ouest,1.629853313,5765,5750,FALSE,1010245,,Montréal,Montréal,45.53241554,-73.71957061,Gouin,0,boulevard
563,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5769,5752,Ouest,1.680428697,5789,5782,FALSE,1010246,,Montréal,Montréal,45.53226102,-73.72018091,Gouin,0,boulevard
566,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5791,5810,Ouest,1.726965399,5847,5824,FALSE,1010247,,Montréal,Montréal,45.53207496,-73.720714,Gouin,0,boulevard
570,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5855,5826,Ouest,1.774794651,5899,5890,FALSE,1010248,,Montréal,Montréal,45.53179396,-73.7211769,Gouin,0,boulevard
573,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,5901,5904,Ouest,1.856194956,5995,5990,FALSE,1010249,,Montréal,Montréal,45.53120597,-73.7217964,Gouin,0,boulevard
577,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,6153,6144,Ouest,2.050168755,6161,6176,FALSE,1010251,,Montréal,Montréal,45.52976692,-73.72320133,Gouin,0,boulevard
582,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,0,6472,Ouest,2.269950724,0,6490,FALSE,1010254,,Montréal,Montréal,45.5286887,-73.72565096,Gouin,0,boulevard
588,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,6835,6800,Ouest,2.559381177,6995,6990,FALSE,1010258,,Montréal,Montréal,45.52762441,-73.72903987,Gouin,0,boulevard
597,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,6835,6800,Ouest,2.728139257,6995,6990,FALSE,1010258,,Montréal,Montréal,45.5265113,-73.73048175,Gouin,0,boulevard
608,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,0,7010,Ouest,2.905891387,0,7300,FALSE,1010261,,Montréal,Montréal,45.52567891,-73.73236976,Gouin,0,boulevard
610,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,7315,7302,Ouest,3.008150612,7355,7390,FALSE,1010263,,Montréal,Montréal,45.52536588,-73.73360358,Gouin,0,boulevard
621,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,7525,7500,Ouest,3.274956778,7665,7660,FALSE,1010265,,Montréal,Montréal,45.523976,-73.7363745,Gouin,0,boulevard
631,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9005,8000,Ouest,3.636829773,9021,8600,FALSE,1010268,,Montréal,Montréal,45.52156066,-73.73947051,Gouin,0,boulevard
645,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9071,9066,Ouest,3.965915139,9079,9078,FALSE,1010272,,Montréal,Montréal,45.51916684,-73.74265971,Gouin,0,boulevard
646,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9081,9080,Ouest,3.910338154,9089,9082,FALSE,1010273,,Montréal,Montréal,45.51863826,-73.74330221,Gouin,0,boulevard
647,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9255,9200,Ouest,3.215605665,9263,9260,FALSE,1010278,,Montréal,Montréal,45.51345288,-73.74821138,Gouin,0,boulevard
652,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9255,9200,Ouest,2.978201192,9263,9260,FALSE,1010278,,Montréal,Montréal,45.51218008,-73.75063384,Gouin,0,boulevard
653,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9265,9270,Ouest,2.874475672,9287,9280,FALSE,1010280,,Montréal,Montréal,45.51158995,-73.75166422,Gouin,0,boulevard
654,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9289,0,Ouest,2.830187519,9291,0,FALSE,1010281,,Montréal,Montréal,45.51132777,-73.75209185,Gouin,0,boulevard
655,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9293,9290,Ouest,2.796227145,9295,9294,FALSE,1010282,,Montréal,Montréal,45.51110802,-73.75239432,Gouin,0,boulevard
656,Ahuntsic-Cartierville,Ahuntsic-Cartierville,6,9309,0,Ouest,2.709229761,9311,0,FALSE,1010284,,Montréal,Montréal,45.51056076,-73.75319155,Gouin,0,boulevard
657,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12281,12272,,2.887637076,12395,12372,FALSE,1010288,,Montréal,Montréal,45.51055259,-73.75152999,Green Lane,0,rue
658,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12201,12200,,3.108044146,12279,12270,FALSE,1010289,,Montréal,Montréal,45.50905149,-73.74913015,Green Lane,0,rue
